No1_diameter[m]	No2_axial_load_ratio	No3_reinforcement_ratio	No4_initial_rebar_diameter[mm]	No5_initial_rebar_yield_strength[MPa]	No6_initial_hoop_yield_strength[MPa]	No7_initial_concrete_strength[MPa]	No8_ec_cover	No9_ecu_cover	No10_diffusion_coefficient[cm^2/s]	No11_Surface_chloride_cocentration[kg/m^3]	No12_Critical_chloride_concentration[kg/m^3]	No13_Corrosion_rate[mm^2/year]	No14_time[year]
1.4051584	0.0801584	0.0200000	29.7344801	375.8833861	364.9220433	35.8393122	0.0019092	0.0047729	24.8839198	2.0707460	0.9136637	0.0993347	50.0000000
1.0079723	0.1201276	0.0200000	30.2957656	429.9666845	344.0501314	39.8503730	0.0017280	0.0043200	11.1698091	4.0463932	1.1006185	0.1171027	50.0000000
1.1186096	0.1001028	0.0200000	30.8638732	340.3569346	332.0592202	28.1098903	0.0016865	0.0042162	25.4905303	5.5277489	0.6113372	0.1856615	50.0000000
1.0882588	0.0786594	0.0200000	30.1109213	353.6831231	355.7596953	32.1183763	0.0018039	0.0045097	44.9839703	4.1180094	0.7212706	0.0956648	50.0000000
1.3320266	0.1202808	0.0200000	29.5535105	475.5504526	321.7688293	30.3582848	0.0017793	0.0044483	63.6599169	3.2260834	0.8814558	0.1326160	50.0000000
1.1268030	0.0965033	0.0200000	30.0338569	357.2659694	338.4733959	23.1414612	0.0022340	0.0055850	108.6726928	2.5513692	0.8270371	0.1705614	50.0000000
1.0468781	0.1110928	0.0200000	30.6121821	368.2867891	355.2552066	59.8411238	0.0026063	0.0065158	32.9119075	4.1508223	0.8042362	0.0944961	50.0000000
1.1500481	0.0913331	0.0200000	31.0698860	400.3283707	272.7195103	33.9411552	0.0014471	0.0036177	33.6832246	1.4133038	0.6383107	0.1196572	50.0000000
1.1178039	0.1073420	0.0200000	29.1568538	364.2561581	281.8995563	46.3228947	0.0027751	0.0069377	41.7056396	3.1928215	1.0568016	0.0851570	50.0000000
1.2314593	0.1100199	0.0200000	30.0684060	404.0505893	309.4800414	39.3570158	0.0025285	0.0063213	80.2842529	4.8878945	0.8415973	0.0925513	50.0000000
1.1722457	0.1121570	0.0200000	29.7400296	452.3308941	350.9616603	32.2135688	0.0019979	0.0049947	54.1759367	2.8109181	1.0045738	0.0795378	50.0000000
1.2582529	0.1083625	0.0200000	29.5406041	421.4832552	287.0364226	36.1496014	0.0017958	0.0044896	43.4887894	3.1445835	0.7640126	0.0973506	50.0000000
1.0217380	0.1059886	0.0200000	30.3267610	400.6079981	355.7256675	38.9107364	0.0026817	0.0067043	107.0349324	4.1110130	0.9306454	0.0924523	50.0000000
