rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.0015561	0.0072618	0.0169442	0.0252434
0.0041720	0.0187740	0.0404684	0.0604940
0.0017870	0.0087563	0.0196570	0.0287707
0.0021550	0.0120680	0.0262910	0.0387900
0.0015390	0.0043092	0.0104652	0.0155439
0.0009120	0.0047880	0.0122360	0.0195320
0.0027731	0.0085714	0.0214285	0.0327730
0.0018770	0.0067572	0.0146406	0.0200839
0.0021720	0.0071676	0.0180276	0.0282360
0.0020280	0.0060840	0.0150072	0.0233220
0.0026080	0.0088672	0.0200816	0.0302528
0.0021200	0.0065720	0.0152640	0.0224720
0.0023440	0.0086728	0.0208616	0.0323472
0.0022210	0.0057746	0.0139923	0.0213216
0.0015530	0.0077650	0.0173936	0.0251586
0.0013632	0.0043168	0.0120416	0.0196528
0.0025550	0.0109865	0.0260610	0.0406245
0.0015367	0.0048895	0.0118745	0.0171831
0.0010212	0.0046805	0.0117438	0.0153180
0.0015664	0.0084016	0.0209328	0.0321824
0.0011448	0.0045315	0.0107325	0.0142146
0.0019030	0.0079926	0.0186494	0.0281644
0.0019560	0.0068460	0.0172128	0.0267972
0.0013915	0.0044275	0.0110055	0.0166980
0.0014891	0.0042406	0.0104881	0.0130454
0.0022730	0.0077282	0.0170475	0.0252303
0.0023980	0.0083930	0.0189442	0.0278168
0.0018854	0.0051420	0.0131978	0.0207394
0.0012521	0.0046636	0.0108697	0.0140816
0.0014840	0.0054908	0.0136528	0.0210728
0.0016580	0.0079584	0.0197302	0.0303414
0.0006975	0.0042780	0.0110670	0.0139035
0.0016511	0.0039026	0.0102068	0.0163609
0.0024060	0.0060150	0.0146766	0.0221352
0.0011693	0.0040394	0.0106300	0.0162639
0.0027860	0.0105868	0.0247954	0.0370538
0.0023710	0.0101953	0.0154115	0.0184938
0.0019720	0.0065076	0.0151844	0.0224808
0.0014232	0.0049812	0.0124530	0.0173156
0.0020360	0.0083476	0.0187312	0.0264680
