No1_diameter[m]	No2_axial_load_ratio	No3_reinforcement_ratio	No4_initial_rebar_diameter[mm]	No5_initial_rebar_yield_strength[MPa]	No6_initial_hoop_yield_strength[MPa]	No7_initial_concrete_strength[MPa]	No8_ec_cover	No9_ecu_cover	No10_diffusion_coefficient[cm^2/s]	No11_Surface_chloride_cocentration[kg/m^3]	No12_Critical_chloride_concentration[kg/m^3]	No13_Corrosion_rate[mm^2/year]	No14_time[year]
1.5449	0.088914	0.017053	31.838	337.56	341.2	25.627	0.002121	0.0053025	34.844	3.5251	1.1213	0.1125	69.914
1.0765	0.092796	0.026641	33.259	349.73	365.01	47.789	0.0017356	0.004339	82.725	3.7996	0.60783	0.076687	17.711
1.7605	0.1075	0.022136	34.5	361.94	386.18	40.504	0.002221	0.0055525	114.81	3.2242	0.92909	0.12671	21.526
1.3196	0.11106	0.028169	27.692	356.15	334.43	38.809	0.0020286	0.0050715	170.49	5.5424	0.81145	0.17301	19.072
1.0319	0.10542	0.026716	26.848	408.56	300.94	31.856	0.0026832	0.0067079	71.575	1.9438	0.77618	0.12283	55.945
1.3348	0.092234	0.026648	28.12	387.38	369.51	32.718	0.0028653	0.0071632	86.136	2.5827	1.0529	0.09217	75.796
1.2902	0.08255	0.019249	28.077	400.74	328.28	24.092	0.0028917	0.0072292	111.78	4.9841	0.81151	0.10994	66.23
1.5347	0.064758	0.012682	29.959	432.25	337.59	44.03	0.001365	0.0034125	130.12	4.2309	0.65942	0.1197	71.078
1.4309	0.096302	0.023667	31.306	510.03	379.01	34.513	0.0025299	0.0063248	47.249	0.86227	0.7961	0.10454	54.517
1.7279	0.11162	0.011701	26.562	329.04	349.81	38.258	0.0022992	0.005748	153.96	5.5458	1.0674	0.11781	56.022
1.6582	0.090263	0.011206	33.928	353.41	350.61	45.826	0.0016662	0.0041656	123.02	3.7822	0.65879	0.091673	32.555
1.2306	0.092447	0.014606	30.371	477.36	352.96	33.364	0.0021348	0.005337	37.266	1.8858	1.1071	0.10618	5.7134
1.2428	0.11181	0.020462	29.669	522.42	391.58	30.454	0.0016672	0.0041681	84.257	1.5581	1.0636	0.091399	11.342
1.1263	0.099752	0.02835	32.212	368.52	383.65	44.777	0.0019274	0.0048185	42.095	5.8253	0.78432	0.081343	66.983
1.2873	0.071441	0.019103	30.391	421.16	346.85	37.462	0.002113	0.0052826	83.598	9.6243	0.71397	0.1082	88.184
1.0475	0.0825	0.025731	33.011	358.18	421.98	39.568	0.002285	0.0057124	13.033	2.0943	1.1556	0.12818	73.773
1.6063	0.10219	0.017583	26.562	461.17	311.66	39.777	0.0027617	0.0069042	113.58	6.0107	0.94124	0.10936	93.809
1.7974	0.081012	0.018185	27.92	417.16	331	36.813	0.0016181	0.0040452	33.229	1.8801	0.72402	0.11984	46.614
1.5598	0.10526	0.028461	34.973	426.03	367.83	29.076	0.0022843	0.0057107	42.04	1.9951	0.72041	0.12597	27.862
1.2513	0.092424	0.01497	31.6	407.66	360.71	40.229	0.0026431	0.0066078	14.168	2.6334	0.78965	0.053243	47.847
1.2728	0.10946	0.010969	28.378	423.26	319.8	26.858	0.0020852	0.005213	153.74	1.7437	1.1308	0.091365	88.56
1.6634	0.079741	0.029463	31.549	410.23	323.89	53.657	0.0017191	0.0042976	18.572	3.9624	1.032	0.087086	74.495
1.3622	0.10793	0.024175	31.4	519.89	268.98	27.925	0.0023606	0.0059014	26.611	1.8904	0.83318	0.097535	69.908
1.1585	0.10136	0.027576	35.615	407.1	354.63	48.815	0.0021373	0.0053432	89.952	3.3678	0.9155	0.15474	33.972
1.2188	0.09652	0.025825	28.393	477.64	357.67	31.085	0.0021984	0.0054961	20.367	4.2855	0.63782	0.17865	6.3241
1.3093	0.098867	0.02308	26.131	328.57	292.75	32.727	0.0017694	0.0044236	39.322	2.1017	0.63273	0.15722	63.759
1.4797	0.10049	0.012554	30.379	358.32	312.74	42.793	0.0018593	0.0046483	33.601	5.2194	0.86354	0.10249	93.703
1.2222	0.10349	0.018845	26.315	478.06	387.54	44.334	0.0026087	0.0065217	41.301	2.7399	0.93133	0.091298	77.081
1.0022	0.0867	0.010062	31.461	393.4	315.81	39.843	0.0017572	0.004393	27.647	1.745	0.61835	0.1689	89.779
1.6412	0.08782	0.02268	32.041	405.63	382.66	30.571	0.0017674	0.0044185	48.29	1.6719	1.004	0.10808	70.674
1.006	0.089005	0.023015	29.772	355.33	371.69	40.98	0.0016396	0.0040989	33.144	4.0948	1.0433	0.14345	10.403
1.1606	0.093827	0.013399	34.449	527.21	377.22	40.653	0.0016446	0.0041114	35.142	2.081	1.1651	0.10138	32.808
1.4266	0.11781	0.028459	33.393	457.77	346.7	41.359	0.002118	0.005295	26.328	4.1454	0.98266	0.099864	56.501
1.7009	0.11835	0.022618	27.244	417.37	384.1	45.241	0.0020718	0.0051794	50.618	1.3783	0.91259	0.18582	11.464
1.1655	0.11107	0.013153	31.586	398.38	403.43	43.489	0.0018904	0.004726	49.516	2.7138	0.8496	0.074604	22.539
1.7704	0.10848	0.021681	28.597	404.15	303.61	39.09	0.0020281	0.0050703	50.237	3.1464	0.75136	0.11895	54.832
1.4048	0.099697	0.023634	27.427	319.44	346.13	27.315	0.0025201	0.0063002	35.999	4.8806	0.89527	0.10969	17.359
1.0424	0.10193	0.028081	26.519	439.49	363.6	39.67	0.0028734	0.0071835	172.73	4.3363	1.1359	0.10187	69.81
1.756	0.091369	0.023428	28.931	415.88	383.1	34.249	0.0024266	0.0060665	109.11	4.0163	0.9897	0.14421	80.66
1.2443	0.10952	0.021181	29.959	374.61	369.07	52.288	0.0022089	0.0055223	29.347	7.2607	1.1761	0.08222	15.051
1.3913	0.12079	0.010507	31.713	418.63	297.59	24.158	0.0027603	0.0069007	36.845	2.0271	1.0053	0.12191	68.983
1.4514	0.10558	0.025197	35.845	436.26	344.56	36.77	0.0022365	0.0055913	76.176	2.8609	1.0737	0.1422	69.417
1.7213	0.10621	0.017866	28.742	311.52	331.57	41.472	0.0030067	0.0075168	37.143	1.8249	0.84316	0.11126	42.205
1.5619	0.084889	0.018978	35.983	401.47	288.5	23.655	0.0019328	0.004832	14.885	3.0139	0.81022	0.088036	29.917
1.6732	0.10304	0.024532	29.108	316.67	378.66	34.633	0.0016227	0.0040568	80.203	5.5282	0.67075	0.11213	26.436
1.4882	0.10947	0.014566	31.96	410.24	315.04	35.483	0.0021691	0.0054227	26.518	2.7622	0.78156	0.10248	14.571
1.0241	0.08961	0.026009	30.833	444.36	381.06	41.234	0.0022937	0.0057344	95.815	4.7692	1.0895	0.1025	47.182
1.4443	0.10157	0.028297	35.733	405.64	313.33	33.894	0.0018865	0.0047163	64.963	2.106	0.913	0.095356	30.181
1.4271	0.10207	0.024253	35.52	356.16	353.27	41.324	0.0017159	0.0042896	33.83	1.8794	0.72062	0.10106	63.059
1.6298	0.10549	0.029837	30.412	378.36	466.16	38.827	0.0023986	0.0059966	57.189	4.1422	0.84041	0.18591	5.4585
1.1523	0.10633	0.013287	29.326	409.2	323.62	59.269	0.0021305	0.0053262	173.85	1.2186	0.74292	0.12312	1.4607
1.4024	0.10078	0.024769	30.968	377.68	289.56	29.564	0.001849	0.0046226	71.824	7.0711	0.83888	0.099576	91.158
1.6068	0.10122	0.013511	31.757	420.08	370.77	43.489	0.0016868	0.0042169	75.461	3.5063	1.0311	0.13826	30.841
1.0432	0.1183	0.015314	35.635	446.88	276.23	30.281	0.0020611	0.0051528	47.673	2.3364	0.84971	0.17846	44.646
1.2271	0.08414	0.015256	35.674	492.94	371.49	49.566	0.0014053	0.0035133	100.18	4.4956	0.97006	0.11797	39.174
1.4608	0.084126	0.014383	31.195	441.05	392.43	32.965	0.0016514	0.0041286	86.963	6.0926	1.094	0.19054	1.4905
1.3576	0.10251	0.010663	35.833	450.24	389.02	31.509	0.0019545	0.0048862	19.031	5.566	0.72024	0.1556	23.876
1.5543	0.097162	0.017706	30.386	410.23	306.35	43.21	0.001442	0.0036049	31.759	0.70807	0.62476	0.13358	91.177
1.0882	0.08559	0.01032	34.302	340.42	305.52	32.197	0.0012949	0.0032374	326.3	3.2573	0.93401	0.076256	70.919
1.7589	0.089255	0.016962	31.129	505.49	370.74	48.108	0.0024132	0.0060329	162.45	2.3791	0.63277	0.14665	13.077
1.0947	0.13335	0.020106	31.813	417.31	343.43	37.178	0.002086	0.0052151	27.195	2.5471	0.85846	0.12846	74.005
1.3133	0.083601	0.020658	30.582	532.45	383.36	50.547	0.0015324	0.003831	123.13	4.9684	0.85432	0.10146	84.267
1.2773	0.10743	0.018058	30.731	568.73	344.77	34.878	0.0021849	0.0054622	35.168	2.0905	0.91151	0.14573	0.94433
1.2318	0.099074	0.012886	27.131	347.14	287.63	30.243	0.0019017	0.0047541	39.298	6.8179	0.64767	0.10249	89.184
1.4913	0.11394	0.027057	29.9	463.88	298.6	37.684	0.0019857	0.0049643	43.907	3.3847	1.0971	0.17016	67.365
1.6246	0.10196	0.016833	31.254	431.6	382.86	36.535	0.0019197	0.0047991	35.324	4.2551	1.1191	0.17192	8.4154
1.2073	0.10622	0.011028	28.241	363.73	342.64	30.877	0.0016592	0.0041481	70.906	4.108	0.89601	0.12628	55.887
1.3213	0.099924	0.029133	29.727	399.36	321.86	20.178	0.0020097	0.0050242	83.913	2.3476	0.66089	0.15189	75.271
1.7301	0.1084	0.017337	29.52	413.85	395.32	40.549	0.0020641	0.0051603	29.328	1.6222	0.82527	0.15652	19.675
1.0447	0.12543	0.029985	35.24	357.08	414.45	45.875	0.0016456	0.0041139	83.63	2.3483	0.73702	0.11107	95.636
1.7386	0.10033	0.020878	32.521	432.77	337.17	44.487	0.0018289	0.0045722	21.021	2.6603	0.89093	0.14686	2.1462
1.0417	0.10122	0.026105	26.609	352.57	306.89	42.681	0.0023917	0.0059793	95.722	3.9033	0.89063	0.12723	8.5986
1.6086	0.087248	0.025707	26.005	361.59	311.52	38.576	0.0019016	0.0047539	89.219	1.2338	0.88317	0.095414	56.301
1.4263	0.10409	0.023326	35.39	404.03	345.55	46.648	0.0018792	0.004698	45.475	5.2666	1.1722	0.12622	2.8121
1.0084	0.085803	0.011979	35.22	446.66	410.94	24.837	0.0024151	0.0060379	55.89	9.7059	1.0651	0.11069	58.757
1.7212	0.11621	0.012561	26.59	413.6	368.94	27.697	0.0020178	0.0050445	164.24	3.309	0.6916	0.12616	87.227
1.4984	0.11856	0.022432	31.605	387.03	363.43	32.555	0.0018566	0.0046416	123.94	3.9964	1.1028	0.18949	38.42
1.0523	0.10038	0.018747	30.496	335.12	395.97	29.943	0.0016577	0.0041443	119.5	3.0385	0.92156	0.10594	89.992
1.2453	0.094866	0.025661	30.516	369.9	300.71	28.49	0.0020008	0.005002	148.19	5.4086	1.0339	0.16191	59.995
1.725	0.1093	0.015351	32.165	425.79	353.05	40.036	0.0025614	0.0064035	32.988	6.4738	0.65127	0.082189	90.771
1.0319	0.071046	0.016601	27.959	415.34	345.42	45.054	0.0018437	0.0046092	28.75	1.1327	0.67226	0.13923	73.877
1.5489	0.087792	0.028402	34.233	340.32	382.57	27.26	0.0018216	0.0045541	51.476	4.8099	0.92329	0.11433	68.873
1.2149	0.10646	0.019631	31.747	469.97	378.32	45.01	0.0018015	0.0045038	51.562	1.9303	1.023	0.11959	75.525
1.1409	0.093493	0.014179	32.053	357.57	396.38	63.759	0.0022957	0.0057392	61.907	1.5542	0.82068	0.14997	78.947
1.5686	0.1178	0.027591	27.537	378.78	328.81	43.021	0.0013777	0.0034442	30.154	3.9201	0.65793	0.15892	81.229
1.3121	0.096216	0.022509	30.309	396.68	427.5	33.606	0.0024996	0.0062491	27.411	2.1409	0.97962	0.094216	65.494
1.3151	0.10398	0.018244	29.262	570.87	359.86	45.879	0.002378	0.0059449	101.33	3.2212	0.90656	0.12905	55.382
1.2741	0.10346	0.018777	29.015	337.52	301.89	45.76	0.0026161	0.0065403	61.15	3.7176	0.97058	0.10167	88.497
1.4395	0.10363	0.029008	33.053	403.53	342.46	44.893	0.0020021	0.0050052	104.76	2.4422	0.70836	0.17943	51.222
1.3936	0.099425	0.028482	35.462	411.73	412.75	44.996	0.0018767	0.0046919	66.915	3.1502	1.0607	0.077511	52.913
1.4621	0.12091	0.02919	30.749	376.91	322.71	68.091	0.0019602	0.0049005	75.089	3.1038	0.7923	0.19374	0.10474
1.384	0.096111	0.016332	31.306	431.06	400.95	56.515	0.0016457	0.0041144	15.197	4.1971	0.65647	0.15506	31.748
1.102	0.083425	0.020204	27.84	377.81	314.3	28.404	0.002971	0.0074274	40.879	1.763	1.1411	0.091261	37.876
1.6525	0.088507	0.011163	35.692	437.68	377.02	46.033	0.0017469	0.0043673	63.804	4.5824	1.0231	0.10195	88.245
1.0248	0.09615	0.022418	31.562	391.71	359.95	55.362	0.0019664	0.0049161	58.272	3.4526	0.81569	0.17095	96.337
1.1899	0.10697	0.015189	35.922	358.33	317.49	32.331	0.0019281	0.0048203	83.979	1.5735	0.88183	0.14919	25.576
1.1994	0.089763	0.016255	29.868	357.35	288.58	36.053	0.0016511	0.0041277	87.589	4.9233	0.71754	0.098904	90.613
1.7177	0.097558	0.011823	26.131	457.37	362.62	47.408	0.0019834	0.0049585	42.571	4.1366	1.1211	0.15255	37.231
1.0448	0.11439	0.019651	30.829	363.66	277.41	32.139	0.0030213	0.0075533	40.18	2.7935	0.79062	0.11768	93.325
1.3994	0.096159	0.012847	30.364	392.07	416.22	43.823	0.0016625	0.0041562	83.048	6.4567	1.1399	0.13971	39.959
1.2822	0.088903	0.013006	33.548	461.6	379.13	51.839	0.0021136	0.005284	29.219	5.1887	1.1809	0.067978	89.775
1.735	0.11701	0.016262	27.687	485.95	389.43	56.42	0.0028932	0.0072331	146.96	2.7915	1.0736	0.13894	93.763
1.3938	0.10379	0.027203	34.385	403.05	376	35.954	0.001644	0.0041101	40.094	1.1846	1.0802	0.082905	91.454
1.4008	0.086496	0.022996	28.708	399.03	371.02	41.887	0.0013595	0.0033987	128.02	4.0937	0.6007	0.14395	18.246
1.3908	0.09937	0.025218	28.836	424.33	356.97	36.053	0.0015952	0.0039879	16.082	1.8571	0.90926	0.101	14.586
1.5451	0.10859	0.012519	26.889	388.62	304.34	42.509	0.001566	0.0039149	62.76	3.3621	0.74494	0.13568	85.922
1.1832	0.087186	0.025325	31.747	375.26	350.95	58.177	0.0017742	0.0044355	55.362	2.335	0.60104	0.15224	43.535
1.4722	0.11649	0.020556	28.438	418.97	266.59	51.521	0.0019984	0.004996	95.849	4.0875	0.8308	0.13832	97.417
1.4237	0.10076	0.027045	34.753	308.57	349.11	46.073	0.0022554	0.0056385	30.261	2.7805	0.64959	0.11023	84.094
1.1995	0.10035	0.011425	35.918	419.85	387.67	24.01	0.002058	0.005145	25.989	14.16	1.1405	0.083438	97.294
1.6153	0.1011	0.015078	34.084	370.36	307.01	39.254	0.0018654	0.0046635	92.283	3.2607	1.1993	0.11032	18.587
1.4391	0.092341	0.023072	35.373	342.77	363.22	33.17	0.0016576	0.004144	55.406	2.1478	0.90625	0.22488	39.423
1.4114	0.079419	0.018564	33.01	429.82	437.29	35.637	0.0023054	0.0057635	245.81	4.4506	0.91626	0.1586	25.322
1.4966	0.099846	0.025705	31.868	414.66	293.48	36.335	0.0015047	0.0037618	41.034	1.4182	1.1363	0.089107	44.782
1.5558	0.058291	0.014594	31.849	485.86	362.37	49.806	0.0021184	0.005296	35.07	1.7979	0.85924	0.090115	40.626
1.7035	0.091581	0.025017	31.477	423.81	304.37	39.404	0.0012852	0.0032131	25.674	7.3459	0.92755	0.12253	89.503
1.3244	0.087159	0.018633	30.501	404.44	302.82	45.721	0.0017852	0.004463	60.874	3.9246	0.95383	0.15644	25.411
1.4855	0.11517	0.025302	30.478	468.68	402.86	35.305	0.0019637	0.0049092	52.545	1.7291	1.1581	0.16852	25.024
1.1944	0.12019	0.013158	33.264	379.54	374.16	32.338	0.0015572	0.0038929	36.418	3.6292	0.68619	0.14687	69.945
1.404	0.079499	0.016705	27.573	413.02	366.11	51.211	0.0015957	0.0039893	40.704	4.2325	0.61357	0.15034	48.088
1.6852	0.093629	0.024456	28.032	427.11	320.6	31.925	0.0013298	0.0033246	66.186	3.0563	0.69898	0.13872	10.513
1.3025	0.08392	0.028596	31.095	377.65	390.34	33.413	0.0017388	0.0043469	36.65	2.5024	0.94741	0.15425	50.259
1.0459	0.081253	0.017662	26.216	350.41	347.98	43.119	0.0017601	0.0044003	95.126	10.222	1.1444	0.14719	48.206
1.5508	0.10337	0.011569	34.855	460.2	339	40.202	0.001417	0.0035424	40.068	1.1958	1.1911	0.10339	85.364
1.1983	0.090548	0.010934	28.591	395.4	393.02	49.783	0.001732	0.0043301	54.232	2.506	0.74978	0.1194	45.935
1.1004	0.082271	0.014621	27.914	379.22	371.32	36.892	0.0017308	0.004327	172.15	4.0123	1.1739	0.094204	96.614
1.0806	0.11542	0.025448	34.383	395.97	333.69	52.046	0.0023937	0.0059844	23.737	11.706	1.0309	0.097394	25.155
1.4569	0.089689	0.025777	27.342	450.31	359.36	26.687	0.0029805	0.0074511	15.34	7.1882	1.1593	0.14653	96.529
1.5687	0.090671	0.02297	32.795	439.17	331.24	33.412	0.0018334	0.0045836	79.55	4.1469	0.74334	0.085338	51.279
1.4501	0.099812	0.024963	35.673	422.59	358.94	35.791	0.0021686	0.0054214	19.245	1.8653	0.98143	0.12927	89.693
1.1931	0.10433	0.016879	31.417	348.62	371.74	31.788	0.001405	0.0035124	31.097	3.4268	0.95173	0.13413	82.649
1.0813	0.10934	0.025408	34.247	363.74	363.36	38.124	0.0015976	0.0039939	14.7	1.5283	1.0191	0.11579	13.389
1.5084	0.094351	0.026199	32.444	418.41	327.8	40.279	0.0021421	0.0053552	49.131	2.7355	1.1309	0.11345	42.447
1.7589	0.10294	0.014821	33.416	358.49	363.23	45.845	0.0011434	0.0028584	46.951	2.6254	0.96013	0.091037	66.392
1.5631	0.086143	0.020911	31.888	468.6	339.71	49.37	0.0021578	0.0053946	69.619	4.119	0.92513	0.1122	81.14
1.3237	0.10972	0.018063	35.037	403.6	296.32	26.694	0.0020345	0.0050863	52.469	6.1704	1.1212	0.20665	80.978
1.1216	0.082356	0.020567	35.262	425.57	329.31	42.944	0.0021855	0.0054638	116.87	6.5002	0.85734	0.1426	1.2466
1.1221	0.10371	0.029342	32.271	431.67	461.62	49.369	0.0020089	0.0050221	22.254	3.1203	0.61326	0.1166	10.086
1.5245	0.087768	0.019745	35.073	374.73	323.67	51.558	0.0014355	0.0035888	53.364	3.4957	0.85235	0.13738	86.326
1.0282	0.11493	0.012107	32.979	430.05	380.16	38.8	0.0021808	0.0054521	54.27	1.9025	0.93505	0.21712	5.1344
1.3124	0.11461	0.018662	26.207	400.39	298.26	39.333	0.0016228	0.0040571	55.765	1.5826	1.0349	0.15747	0.91945
1.4934	0.099115	0.016376	26.875	383.07	328.87	45.565	0.0020491	0.0051227	20.802	4.8619	1.1928	0.10827	33.939
1.7624	0.10137	0.028878	30.452	355.2	332.26	52.98	0.0020404	0.0051009	83.581	2.5973	0.77275	0.0892	7.147
1.3372	0.075676	0.01151	26.393	399.4	286.63	25.307	0.0017611	0.0044028	27.049	2.0555	0.75599	0.097064	70.865
1.1991	0.102	0.025865	27.458	331.34	318.65	49.602	0.0017139	0.0042848	32.011	1.888	0.99613	0.12387	18.675
1.7117	0.096149	0.023103	32.951	393.29	348.31	47.805	0.0015464	0.0038659	45.198	3.0844	0.60236	0.10196	80.286
1.1715	0.077349	0.028212	31.942	395.94	305.03	42.271	0.0019273	0.0048183	50.315	7.4734	0.68603	0.12978	51.234
1.4971	0.099195	0.027626	30.993	432.16	380	33.927	0.0013523	0.0033808	84.631	6.1014	1.0381	0.16738	74.67
