rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.0012807	0.0064035	0.014515	0.021914
0.0031086	0.019688	0.041103	0.059063
0.001764	0.006664	0.015092	0.022736
0.002382	0.0097662	0.021438	0.032157
0.00224	0.008736	0.020608	0.03136
0.0016	0.00608	0.01472	0.02288
0.0015426	0.007713	0.018168	0.027938
0.0011791	0.0052916	0.010152	0.012395
0.002124	0.0059	0.013924	0.021476
0.001065	0.0041535	0.01033	0.016188
0.0017721	0.007876	0.017524	0.0254
0.0034336	0.021889	0.043778	0.063951
0.0039258	0.017448	0.036205	0.053653
0.002671	0.011218	0.02484	0.03686
0.0013977	0.0060567	0.015219	0.023295
0.002296	0.01125	0.025945	0.038802
0.0009724	0.003094	0.0083096	0.013614
0.0016209	0.0059433	0.013327	0.019271
0.0023877	0.0092855	0.019632	0.029448
0.0028688	0.021157	0.04088	0.060962
0.001488	0.0056544	0.01369	0.020981
0.0018819	0.0054366	0.012546	0.017774
0.0024138	0.0061686	0.014215	0.021724
0.002853	0.008559	0.019971	0.029957
0.0039024	0.019078	0.038157	0.056802
0.0012144	0.00552	0.013248	0.019651
0.00134	0.004422	0.011256	0.016884
0.002257	0.0069967	0.017153	0.026633
0.0013344	0.0058936	0.015679	0.02224
0.0012897	0.0047289	0.011034	0.016336
0.0035172	0.028528	0.056666	0.080505
0.0038133	0.015677	0.033049	0.047878
0.0025614	0.0073996	0.016222	0.024476
0.0022023	0.007341	0.016395	0.02447
0.0032148	0.019646	0.042507	0.061796
0.0014148	0.0040872	0.0099036	0.014934
0.0022644	0.018367	0.035979	0.052836
0.0023254	0.007399	0.017969	0.028328
0.0007348	0.0029392	0.0077488	0.012492
0.0029979	0.016655	0.032977	0.048633
0.001713	0.0053103	0.012676	0.020042
0.001546	0.0035558	0.0091214	0.014378
0.001466	0.0054242	0.013047	0.020524
0.0022752	0.013651	0.027587	0.040669
0.0016371	0.0089131	0.019099	0.028013
0.00244	0.013725	0.027145	0.039955
0.003351	0.013069	0.028819	0.043228
0.0023931	0.0087747	0.019145	0.028451
0.001913	0.0063129	0.014347	0.020852
0.0023121	0.012074	0.024406	0.036223
0.0035361	0.018073	0.035754	0.052256
0.001371	0.0046614	0.011105	0.016726
0.0020151	0.0071648	0.016121	0.023509
0.002981	0.008943	0.020867	0.031301
0.0030267	0.010425	0.020851	0.027913
0.0026728	0.017373	0.035415	0.051785
0.002936	0.020919	0.042205	0.061656
0.0007872	0.0031488	0.0068224	0.0082656
0.002248	0.012814	0.025852	0.035294
0.0022904	0.0071575	0.016033	0.024622
0.0024948	0.0065772	0.015649	0.024041
0.0018009	0.0050025	0.011206	0.014207
0.0039416	0.016752	0.033504	0.04927
0.001516	0.0072768	0.017131	0.025772
0.001253	0.0031325	0.0081445	0.012655
0.002352	0.012348	0.025284	0.037044
0.001842	0.00921	0.020815	0.030577
0.000988	0.0041496	0.010176	0.01561
0.0022176	0.008624	0.018973	0.028336
0.0018278	0.0042649	0.010741	0.014623
0.0022032	0.0088128	0.018176	0.026438
0.0033471	0.022686	0.043884	0.065083
0.0012528	0.0052896	0.012528	0.018792
